scheme_code,scheme_title,source_name,source_url,source_dataset_id,ministry,state,verification_status
PMAY-U,Pradhan Mantri Awas Yojana - Urban (PMAY-U),Open Government Data Platform India / MoHUA,https://pmaymis.gov.in,OGD-INDIA-MOHUA-001,Ministry of Housing and Urban Affairs,All India,VERIFIED_OFFICIAL
PMAY-G,Pradhan Mantri Awas Yojana - Gramin (PMAY-G),Open Government Data Platform India / MoRD,https://pmayg.nic.in,OGD-INDIA-MORD-002,Ministry of Rural Development,All India,VERIFIED_OFFICIAL
PM-KISAN,PM-KISAN Samman Nidhi Scheme,Open Government Data Platform India / MoA&FW,https://pmkisan.gov.in,OGD-INDIA-AGRI-003,Ministry of Agriculture & Farmers Welfare,All India,VERIFIED_OFFICIAL
PMFBY,Pradhan Mantri Fasal Bima Yojana (PMFBY),Open Government Data Platform India / MoA&FW,https://pmfby.gov.in,OGD-INDIA-AGRI-004,Ministry of Agriculture & Farmers Welfare,All India,VERIFIED_OFFICIAL
KCC,Kisan Credit Card (KCC) Scheme,Open Government Data Platform India / RBI,https://agricoop.nic.in,OGD-INDIA-AGRI-005,Ministry of Agriculture & Farmers Welfare / RBI,All India,VERIFIED_OFFICIAL
PM-JAY,Ayushman Bharat PM-JAY Health Insurance,Open Government Data Platform India / NHA,https://pmjay.gov.in,OGD-INDIA-NHA-006,National Health Authority / Ministry of Health,All India,VERIFIED_OFFICIAL
PMJJBY,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Open Government Data Platform India / DFS,https://jansuraksha.gov.in,OGD-INDIA-MOF-007,Ministry of Finance,All India,VERIFIED_OFFICIAL
PMSBY,Pradhan Mantri Suraksha Bima Yojana (PMSBY),Open Government Data Platform India / DFS,https://jansuraksha.gov.in,OGD-INDIA-MOF-008,Ministry of Finance,All India,VERIFIED_OFFICIAL
PMMVY,Pradhan Mantri Matru Vandana Yojana (PMMVY),Open Government Data Platform India / MoWCD,https://pmmvy.wcd.gov.in,OGD-INDIA-WCD-009,Ministry of Women and Child Development,All India,VERIFIED_OFFICIAL
SSY,Sukanya Samriddhi Yojana (SSY),Open Government Data Platform India / India Post,https://www.indiapost.gov.in,OGD-INDIA-POST-010,Ministry of Finance / India Post,All India,VERIFIED_OFFICIAL
IGNOAPS,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Open Government Data Platform India / NSAP,https://nsap.nic.in,OGD-INDIA-NSAP-011,Ministry of Rural Development (NSAP),All India,VERIFIED_OFFICIAL
IGNWPS,Indira Gandhi National Widow Pension Scheme (IGNWPS),Open Government Data Platform India / NSAP,https://nsap.nic.in,OGD-INDIA-NSAP-012,Ministry of Rural Development (NSAP),All India,VERIFIED_OFFICIAL
IGNDPS,Indira Gandhi National Disability Pension Scheme (IGNDPS),Open Government Data Platform India / NSAP,https://nsap.nic.in,OGD-INDIA-NSAP-013,Ministry of Rural Development (NSAP),All India,VERIFIED_OFFICIAL
PM-SVANIDHI,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),Open Government Data Platform India / MoHUA,https://pmsvanidhi.mohua.gov.in,OGD-INDIA-MOHUA-014,Ministry of Housing and Urban Affairs,All India,VERIFIED_OFFICIAL
PM-VISHWAKARMA,PM Vishwakarma Scheme,Open Government Data Platform India / MSME,https://pmvishwakarma.gov.in,OGD-INDIA-MSME-015,"Ministry of Micro, Small and Medium Enterprises",All India,VERIFIED_OFFICIAL
PMEGP,Prime Minister Employment Generation Programme (PMEGP),Open Government Data Platform India / KVIC,https://www.kviconline.gov.in,OGD-INDIA-KVIC-016,"Ministry of Micro, Small and Medium Enterprises / KVIC",All India,VERIFIED_OFFICIAL
PMKVY,Pradhan Mantri Kaushal Vikas Yojana (PMKVY 4.0),Open Government Data Platform India / MSDE,https://www.pmkvyofficial.org,OGD-INDIA-MSDE-017,Ministry of Skill Development and Entrepreneurship / NSDC,All India,VERIFIED_OFFICIAL
MGNREGA,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Open Government Data Platform India / MoRD,https://nrega.nic.in,OGD-INDIA-MORD-018,Ministry of Rural Development,All India,VERIFIED_OFFICIAL
NMMSS,National Means-cum-Merit Scholarship Scheme (NMMSS),Open Government Data Platform India / NSP,https://scholarships.gov.in,OGD-INDIA-NSP-019,Ministry of Education,All India,VERIFIED_OFFICIAL
NSP-PMS-SC,Post Matric Scholarship for Scheduled Caste Students (NSP-PMS-SC),Open Government Data Platform India / NSP,https://scholarships.gov.in,OGD-INDIA-NSP-020,Ministry of Social Justice and Empowerment,All India,VERIFIED_OFFICIAL
PM-KUSUM,PM KUSUM Solar Pump Scheme,Open Government Data Platform India / MNRE,https://pmkusum.mnre.gov.in,OGD-INDIA-MNRE-021,Ministry of New and Renewable Energy,All India,VERIFIED_OFFICIAL
