scheme_code,scheme_name,state_name,source_name,source_dataset_url,source_dataset_id,source_scheme_id,official_url,verification_method,verification_date,data_status,provenance_confidence
PMAY-U,Pradhan Mantri Awas Yojana - Urban (PMAY-U),All India,Ministry of Housing and Urban Affairs (https://pmaymis.gov.in),NULL,NULL,PMAY-U,https://pmaymis.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMAY-G,Pradhan Mantri Awas Yojana - Gramin (PMAY-G),All India,Ministry of Rural Development (https://pmayg.nic.in),NULL,NULL,PMAY-G,https://pmayg.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-KISAN,PM-KISAN Samman Nidhi Scheme,All India,Ministry of Agriculture & Farmers Welfare (https://pmkisan.gov.in),NULL,NULL,PM-KISAN,https://pmkisan.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMFBY,Pradhan Mantri Fasal Bima Yojana (PMFBY),All India,Ministry of Agriculture & Farmers Welfare (https://pmfby.gov.in),NULL,NULL,PMFBY,https://pmfby.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
KCC,Kisan Credit Card (KCC) Scheme,All India,Ministry of Agriculture & Farmers Welfare / RBI (https://agricoop.nic.in),NULL,NULL,KCC,https://agricoop.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-JAY,Ayushman Bharat PM-JAY Health Insurance,All India,National Health Authority / Ministry of Health (https://pmjay.gov.in),NULL,NULL,PM-JAY,https://pmjay.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMJJBY,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),All India,Ministry of Finance (https://jansuraksha.gov.in),NULL,NULL,PMJJBY,https://jansuraksha.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMSBY,Pradhan Mantri Suraksha Bima Yojana (PMSBY),All India,Ministry of Finance (https://jansuraksha.gov.in),NULL,NULL,PMSBY,https://jansuraksha.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMMVY,Pradhan Mantri Matru Vandana Yojana (PMMVY),All India,Ministry of Women and Child Development (https://pmmvy.wcd.gov.in),NULL,NULL,PMMVY,https://pmmvy.wcd.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
SSY,Sukanya Samriddhi Yojana (SSY),All India,Ministry of Finance / India Post (https://www.indiapost.gov.in),NULL,NULL,SSY,https://www.indiapost.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
IGNOAPS,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),All India,Ministry of Rural Development (NSAP) (https://nsap.nic.in),NULL,NULL,IGNOAPS,https://nsap.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
IGNWPS,Indira Gandhi National Widow Pension Scheme (IGNWPS),All India,Ministry of Rural Development (NSAP) (https://nsap.nic.in),NULL,NULL,IGNWPS,https://nsap.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
IGNDPS,Indira Gandhi National Disability Pension Scheme (IGNDPS),All India,Ministry of Rural Development (NSAP) (https://nsap.nic.in),NULL,NULL,IGNDPS,https://nsap.nic.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-SVANIDHI,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),All India,Ministry of Housing and Urban Affairs (https://pmsvanidhi.mohua.gov.in),NULL,NULL,PM-SVANIDHI,https://pmsvanidhi.mohua.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PM-VISHWAKARMA,PM Vishwakarma Scheme,All India,"Ministry of Micro, Small and Medium Enterprises (https://pmvishwakarma.gov.in)",NULL,NULL,PM-VISHWAKARMA,https://pmvishwakarma.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMEGP,Prime Minister Employment Generation Programme (PMEGP),All India,"Ministry of Micro, Small and Medium Enterprises / KVIC (https://www.kviconline.gov.in)",NULL,NULL,PMEGP,https://www.kviconline.gov.in,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
PMKVY,Pradhan Mantri Kaushal Vikas Yojana (PMKVY 4.0),All India,Ministry of Skill Development and Entrepreneurship / NSDC (https://www.pmkvyofficial.org),NULL,NULL,PMKVY,https://www.pmkvyofficial.org,OFFICIAL_PORTAL_MANUAL_VERIFICATION,2026-09-20,VERIFIED_OFFICIAL_PORTAL,HIGH_OFFICIAL_PORTAL
