scheme_code,scheme_name,official_authority,official_url,evidence_url,evidence_title,evidence_type,verification_date,verification_notes
PMAY-U,Pradhan Mantri Awas Yojana - Urban (PMAY-U),Ministry of Housing and Urban Affairs,https://pmaymis.gov.in,https://pmaymis.gov.in,Pradhan Mantri Awas Yojana - Urban (PMAY-U) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmaymis.gov.in. Published by Ministry of Housing and Urban Affairs.
PMAY-G,Pradhan Mantri Awas Yojana - Gramin (PMAY-G),Ministry of Rural Development,https://pmayg.nic.in,https://pmayg.nic.in,Pradhan Mantri Awas Yojana - Gramin (PMAY-G) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmayg.nic.in. Published by Ministry of Rural Development.
PM-KISAN,PM-KISAN Samman Nidhi Scheme,Ministry of Agriculture & Farmers Welfare,https://pmkisan.gov.in,https://pmkisan.gov.in,PM-KISAN Samman Nidhi Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmkisan.gov.in. Published by Ministry of Agriculture & Farmers Welfare.
PMFBY,Pradhan Mantri Fasal Bima Yojana (PMFBY),Ministry of Agriculture & Farmers Welfare,https://pmfby.gov.in,https://pmfby.gov.in,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmfby.gov.in. Published by Ministry of Agriculture & Farmers Welfare.
KCC,Kisan Credit Card (KCC) Scheme,Ministry of Agriculture & Farmers Welfare / RBI,https://agricoop.nic.in,https://agricoop.nic.in,Kisan Credit Card (KCC) Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://agricoop.nic.in. Published by Ministry of Agriculture & Farmers Welfare / RBI.
PM-JAY,Ayushman Bharat PM-JAY Health Insurance,National Health Authority / Ministry of Health,https://pmjay.gov.in,https://pmjay.gov.in,Ayushman Bharat PM-JAY Health Insurance - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmjay.gov.in. Published by National Health Authority / Ministry of Health.
PMJJBY,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Ministry of Finance,https://jansuraksha.gov.in,https://jansuraksha.gov.in,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://jansuraksha.gov.in. Published by Ministry of Finance.
PMSBY,Pradhan Mantri Suraksha Bima Yojana (PMSBY),Ministry of Finance,https://jansuraksha.gov.in,https://jansuraksha.gov.in,Pradhan Mantri Suraksha Bima Yojana (PMSBY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://jansuraksha.gov.in. Published by Ministry of Finance.
PMMVY,Pradhan Mantri Matru Vandana Yojana (PMMVY),Ministry of Women and Child Development,https://pmmvy.wcd.gov.in,https://pmmvy.wcd.gov.in,Pradhan Mantri Matru Vandana Yojana (PMMVY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmmvy.wcd.gov.in. Published by Ministry of Women and Child Development.
SSY,Sukanya Samriddhi Yojana (SSY),Ministry of Finance / India Post,https://www.indiapost.gov.in,https://www.indiapost.gov.in,Sukanya Samriddhi Yojana (SSY) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://www.indiapost.gov.in. Published by Ministry of Finance / India Post.
IGNOAPS,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Ministry of Rural Development (NSAP),https://nsap.nic.in,https://nsap.nic.in,Indira Gandhi National Old Age Pension Scheme (IGNOAPS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://nsap.nic.in. Published by Ministry of Rural Development (NSAP).
IGNWPS,Indira Gandhi National Widow Pension Scheme (IGNWPS),Ministry of Rural Development (NSAP),https://nsap.nic.in,https://nsap.nic.in,Indira Gandhi National Widow Pension Scheme (IGNWPS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://nsap.nic.in. Published by Ministry of Rural Development (NSAP).
IGNDPS,Indira Gandhi National Disability Pension Scheme (IGNDPS),Ministry of Rural Development (NSAP),https://nsap.nic.in,https://nsap.nic.in,Indira Gandhi National Disability Pension Scheme (IGNDPS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://nsap.nic.in. Published by Ministry of Rural Development (NSAP).
PM-SVANIDHI,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi),Ministry of Housing and Urban Affairs,https://pmsvanidhi.mohua.gov.in,https://pmsvanidhi.mohua.gov.in,PM Street Vendor's AtmaNirbhar Nidhi (PM SVANidhi) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://pmsvanidhi.mohua.gov.in. Published by Ministry of Housing and Urban Affairs.
PM-VISHWAKARMA,PM Vishwakarma Scheme,"Ministry of Micro, Small and Medium Enterprises",https://pmvishwakarma.gov.in,https://pmvishwakarma.gov.in,PM Vishwakarma Scheme - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,"Verified directly against official domain https://pmvishwakarma.gov.in. Published by Ministry of Micro, Small and Medium Enterprises."
PMEGP,Prime Minister Employment Generation Programme (PMEGP),"Ministry of Micro, Small and Medium Enterprises / KVIC",https://www.kviconline.gov.in,https://www.kviconline.gov.in,Prime Minister Employment Generation Programme (PMEGP) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,"Verified directly against official domain https://www.kviconline.gov.in. Published by Ministry of Micro, Small and Medium Enterprises / KVIC."
PMKVY,Pradhan Mantri Kaushal Vikas Yojana (PMKVY 4.0),Ministry of Skill Development and Entrepreneurship / NSDC,https://www.pmkvyofficial.org,https://www.pmkvyofficial.org,Pradhan Mantri Kaushal Vikas Yojana (PMKVY 4.0) - Official Government Portal / Guidelines,OFFICIAL_GOVT_WEBSITE,2026-09-20,Verified directly against official domain https://www.pmkvyofficial.org. Published by Ministry of Skill Development and Entrepreneurship / NSDC.
MGNREGA,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Ministry of Rural Development,https://nrega.nic.in,https://nrega.nic.in,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://nrega.nic.in. Published by Ministry of Rural Development.
NMMSS,National Means-cum-Merit Scholarship Scheme (NMMSS),Ministry of Education,https://scholarships.gov.in,https://scholarships.gov.in,National Means-cum-Merit Scholarship Scheme (NMMSS) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://scholarships.gov.in. Published by Ministry of Education.
NSP-PMS-SC,Post Matric Scholarship for Scheduled Caste Students (NSP-PMS-SC),Ministry of Social Justice and Empowerment,https://scholarships.gov.in,https://scholarships.gov.in,Post Matric Scholarship for Scheduled Caste Students (NSP-PMS-SC) - Official Government Portal / Guidelines,OFFICIAL_GOVT_PORTAL,2026-09-20,Verified directly against official domain https://scholarships.gov.in. Published by Ministry of Social Justice and Empowerment.
